UBIGEO,COD_PROVINCIA,REGION,PROVINCIA,POB_REG,POB_PROV,POB_DIST
010101,0101,Amazonas,Chachapoyas,64242,55506,32589
010102,0101,Amazonas,Chachapoyas,64242,55506,262
010103,0101,Amazonas,Chachapoyas,64242,55506,1136
010104,0101,Amazonas,Chachapoyas,64242,55506,642
010105,0101,Amazonas,Chachapoyas,64242,55506,585
010106,0101,Amazonas,Chachapoyas,64242,55506,1781
010107,0101,Amazonas,Chachapoyas,64242,55506,480
010108,0101,Amazonas,Chachapoyas,64242,55506,1258
010109,0101,Amazonas,Chachapoyas,64242,55506,3978
010110,0101,Amazonas,Chachapoyas,64242,55506,3620
010111,0101,Amazonas,Chachapoyas,64242,55506,794
010112,0101,Amazonas,Chachapoyas,64242,55506,852
010113,0101,Amazonas,Chachapoyas,64242,55506,1367
010114,0101,Amazonas,Chachapoyas,64242,55506,2176
010115,0101,Amazonas,Chachapoyas,64242,55506,496
010116,0101,Amazonas,Chachapoyas,64242,55506,375
010117,0101,Amazonas,Chachapoyas,64242,55506,769
010118,0101,Amazonas,Chachapoyas,64242,55506,295
010119,0101,Amazonas,Chachapoyas,64242,55506,580
010120,0101,Amazonas,Chachapoyas,64242,55506,1224
010121,0101,Amazonas,Chachapoyas,64242,55506,247
010201,0102,Amazonas,Bagua,64242,72884,27102
010202,0102,Amazonas,Bagua,64242,72884,9765
010203,0102,Amazonas,Bagua,64242,72884,4595
010204,0102,Amazonas,Bagua,64242,1216,1216
010205,0102,Amazonas,Bagua,64242,72884,25162
010206,0102,Amazonas,Bagua,64242,72884,6260
010301,0103,Amazonas,Bongara,64242,19638,1337
010302,0103,Amazonas,Bongara,64242,19638,306
010303,0103,Amazonas,Bongara,64242,19638,287
010304,0103,Amazonas,Bongara,64242,19638,772
010305,0103,Amazonas,Bongara,64242,19638,669
010306,0103,Amazonas,Bongará,64242,5999,5999
010307,0103,Amazonas,Bongara,64242,19638,7580
010308,0103,Amazonas,Bongara,64242,19638,208
010309,0103,Amazonas,Bongara,64242,19638,489
010310,0103,Amazonas,Bongara,64242,19638,1539
010311,0103,Amazonas,Bongara,64242,19638,874
010312,0103,Amazonas,Bongara,64242,19638,5577
010401,0104,Amazonas,Condorcanqui,64242,42470,18626
010402,0104,Amazonas,Condorcanqui,64242,42470,9891
010403,0104,Amazonas,Condorcanqui,64242,42470,13953
010501,0105,Amazonas,Luya,64242,6186,2227
010502,0105,Amazonas,Luya,64242,38250,6473
010503,0105,Amazonas,Luya,64242,38250,1881
010504,0105,Amazonas,Luya,64242,38250,1853
010505,0105,Amazonas,Luya,64242,38250,1840
010506,0105,Amazonas,Luya,64242,38250,498
010507,0105,Amazonas,Luya,64242,38250,839
010508,0105,Amazonas,Luya,64242,38250,842
010509,0105,Amazonas,Luya,64242,6186,3959
010510,0105,Amazonas,Luya,64242,38250,388
010511,0105,Amazonas,Luya,64242,38250,744
010512,0105,Amazonas,Luya,64242,38250,3556
010513,0105,Amazonas,Luya,64242,38250,3446
010514,0105,Amazonas,Luya,64242,38250,4768
010515,0105,Amazonas,Luya,64242,38250,1316
010516,0105,Amazonas,Luya,64242,38250,546
010517,0105,Amazonas,Luya,64242,38250,695
010518,0105,Amazonas,Luya,64242,38250,633
010519,0105,Amazonas,Luya,64242,38250,419
010520,0105,Amazonas,Luya,64242,38250,1888
010521,0105,Amazonas,Luya,64242,38250,3012
010522,0105,Amazonas,Luya,64242,38250,1265
010523,0105,Amazonas,Luya,64242,38250,1348
010601,0106,Amazonas,Rodríguez de Mendoza,64242,29998,6016
010602,0106,Amazonas,Rodríguez de Mendoza,64242,29998,2498
010603,0106,Amazonas,Rodríguez de Mendoza,64242,29998,595
010604,0106,Amazonas,Rodríguez de Mendoza,64242,29998,2620
010605,0106,Amazonas,Rodríguez de Mendoza,64242,29998,2280
010606,0106,Amazonas,Rodríguez de Mendoza,64242,29998,1631
010607,0106,Amazonas,Rodríguez de Mendoza,64242,29998,1506
010608,0106,Amazonas,Rodríguez de Mendoza,64242,29998,453
010609,0106,Amazonas,Rodríguez de Mendoza,64242,29998,8793
010610,0106,Amazonas,Rodríguez de Mendoza,64242,29998,512
010611,0106,Amazonas,Rodríguez de Mendoza,64242,29998,282
010612,0106,Amazonas,Rodríguez de Mendoza,64242,29998,2812
010701,0107,Amazonas,Utcubamba,64242,50841,50841
010702,0107,Amazonas,Utcubamba,64242,56396,23089
010703,0107,Amazonas,Utcubamba,64242,56396,7855
010704,0107,Amazonas,Utcubamba,64242,56396,5825
010705,0107,Amazonas,Utcubamba,64242,56396,6620
010706,0107,Amazonas,Utcubamba,64242,56396,10080
010707,0107,Amazonas,Utcubamba,64242,56396,2927
020101,0201,Áncash,Huaraz,65550,163936,60896
020102,0201,Áncash,Huaraz,65550,163936,1639
020103,0201,Áncash,Huaraz,65550,163936,294
020104,0201,Áncash,Huaraz,65550,163936,1600
020105,0201,Áncash,Huaraz,65550,163936,76088
020106,0201,Áncash,Huaraz,65550,163936,4781
020107,0201,Áncash,Huaraz,65550,163936,1066
020108,0201,Áncash,Huaraz,65550,163936,2351
020109,0201,Áncash,Huaraz,65550,163936,956
020110,0201,Áncash,Huaraz,65550,163936,4606
020111,0201,Áncash,Huaraz,65550,163936,3321
020112,0201,Áncash,Huaraz,65550,163936,6338
020201,0202,Áncash,Aija,65550,6316,2017
020202,0202,Áncash,Aija,65550,6316,1639
020203,0202,Áncash,Aija,65550,6316,364
020204,0202,Áncash,Aija,65550,6316,1582
020205,0202,Áncash,Aija,65550,6316,714
020301,0203,Áncash,Antonio Raymondi,65550,13650,3288
020302,0203,Áncash,Antonio Raymondi,65550,13650,1918
020303,0203,Áncash,Antonio Raymondi,65550,13650,1368
020304,0203,Áncash,Antonio Raymondi,65550,13650,1851
020305,0203,Áncash,Antonio Raymondi,65550,13650,4067
020306,0203,Áncash,Antonio Raymondi,65550,13650,1158
020401,0204,Áncash,Asunción,65550,7378,4563
020402,0204,Áncash,Asunción,65550,7378,2815
020501,0205,Áncash,Bolognesi,65550,23797,4023
020502,0205,Áncash,Bolognesi,65550,23797,244
020503,0205,Áncash,Bolognesi,65550,23797,994
020504,0205,Áncash,Bolognesi,65550,23797,2062
020505,0205,Áncash,Bolognesi,65550,23797,1677
020506,0205,Áncash,Bolognesi,65550,23797,312
020507,0205,Áncash,Bolognesi,65550,23797,2313
